                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1442,                0.92224,                 1.2736,                0.92543,                0.83535,                0.91575,                0.64018,                 1.0895,                0.78059,                 1.3707,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.1273,                0.92525,                 1.2696,                0.90961,                0.87092,                0.93391,                0.61766,                 1.1428,                0.74453,                 1.3927,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.1094,                 0.9182,                 1.2585,                0.88717,                0.83166,                0.91937,                0.60746,                  1.136,                 0.8549,                 1.3598,               0.001769,               0.001769,               0.001769
                     38,                 1.1486,                 0.9392,                  1.288,                0.89587,                0.82726,                0.91798,                0.60852,                 1.2381,                0.84312,                 1.3877,              0.0017624,              0.0017624,              0.0017624
                     39,                  1.116,                0.94291,                 1.2574,                0.89197,                0.84615,                0.92223,                0.64351,                 1.1026,                 0.8074,                 1.3419,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.0927,                0.89927,                 1.2641,                0.91116,                0.88759,                0.95213,                0.67693,                 1.0607,                0.68208,                 1.2798,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.0961,                0.87339,                 1.2457,                0.86707,                0.87812,                0.91877,                 0.6536,                 1.0894,                0.77229,                 1.3135,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.0721,                0.87191,                 1.2322,                0.84055,                  0.875,                0.89553,                 0.5973,                 1.2723,                0.73979,                 1.4837,               0.001736,               0.001736,               0.001736
                     43,                 1.0934,                0.87072,                  1.252,                0.87966,                0.79808,                0.88156,                0.58434,                 1.2088,                 0.8067,                 1.4042,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.0528,                 0.8455,                 1.2172,                0.90879,                0.86225,                0.94239,                0.62557,                 1.1821,                0.70826,                 1.4107,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.0823,                0.86092,                 1.2451,                0.90396,                0.92308,                0.96389,                0.66654,                 1.1063,                0.68789,                 1.3285,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.0187,                0.82421,                  1.211,                0.90826,                0.89423,                 0.9448,                0.63646,                 1.1577,                0.74301,                 1.3696,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.0559,                0.81112,                 1.2256,                0.92118,                0.86538,                0.94854,                0.66343,                 1.1141,                0.73121,                  1.343,               0.001703,               0.001703,               0.001703
